"Name","Length"
"scenes/c100001","8279846"
"scenes/c100001_2","8036205"
"scenes/c100011","10131772"
"scenes/c100019","8188963"
"scenes/c100841","2993663"
"scenes/c100841_2","8423376"
"scenes/c102901","3810632"
"scenes/c103501","3744959"
"scenes/c103501_2","9577866"
"scenes/c103503","9721739"
"scenes/c103507","3202762"
"scenes/c103509","6242606"
"scenes/c110001","3397549"
"scenes/c110001_2","2984433"
"scenes/c110003","3029481"
"scenes/c110003_2","2665341"
"scenes/c110005","3123412"
"scenes/c110005_2","3076791"
"scenes/c110007","3054685"
"scenes/c110009","3210171"
"scenes/c110011","2293379"
"scenes/c110015","6797711"
"scenes/c110017","8034521"
"scenes/c110021","6613545"
"scenes/c110101","3466011"
"scenes/c110301","3242348"
"scenes/c110301_2","3790185"
"scenes/c110303","5001169"
"scenes/c110303_2","4126305"
"scenes/c110305","2935815"
"scenes/c110305_2","2792176"
"scenes/c110307","7500713"
"scenes/c110401","2591924"
"scenes/c110401_2","3571343"
"scenes/c110403","3698604"
"scenes/c110403_2","3779770"
"scenes/c110405","2296083"
"scenes/c110405_2","3097318"
"scenes/c110407","3131555"
"scenes/c110407_2","3656883"
"scenes/c110409","3432525"
"scenes/c110409_2","3010231"
"scenes/c110411","3550005"
"scenes/c110411_2","4145742"
"scenes/c110413","5186875"
"scenes/c110413_2","4359690"
"scenes/c110415","12126125"
"scenes/c110501","2858649"
"scenes/c110501_2","3026674"
"scenes/c110801","1734362"
"scenes/c110801_2","3167471"
"scenes/c110803","2292924"
"scenes/c110803_2","2366938"
"scenes/c110805","2548982"
"scenes/c110805_2","3427331"
"scenes/c110807","4232547"
"scenes/c110809","3739089"
"scenes/c110811","3976611"
"scenes/c110811_2","3589840"
"scenes/c110813","3795757"
"scenes/c110813_2","4287240"
"scenes/c110815","3364129"
"scenes/c110815_2","3237389"
"scenes/c110817","3751835"
"scenes/c110817_2","3226935"
"scenes/c110819","3492332"
"scenes/c110819_2","2516445"
"scenes/c110821","2738656"
"scenes/c110821_2","5218090"
"scenes/c110823","2670330"
"scenes/c110823_2","7206822"
"scenes/c110825","6525128"
"scenes/c110825_2","8004085"
"scenes/c110827","5333949"
"scenes/c110827_2","6339395"
"scenes/c110829","7973192"
"scenes/c110901","3253729"
"scenes/c110901_2","2562663"
"scenes/c111001","3194100"
"scenes/c111001_2","3415017"
"scenes/c111101","2407255"
"scenes/c111103","3502716"
"scenes/c111103_2","3534142"
"scenes/c111105","3362033"
"scenes/c111105_2","2632741"
"scenes/c111107","3571660"
"scenes/c111107_2","3276957"
"scenes/c111109","3312959"
"scenes/c111109_2","3099234"
"scenes/c111111","8940289"
"scenes/c111111_2","7633428"
"scenes/c111501","2568948"
"scenes/c111503","2330325"
"scenes/c111505","3154337"
"scenes/c111601","3869711"
"scenes/c111601_2","3826701"
"scenes/c111701","2426393"
"scenes/c111701_2","4273823"
"scenes/c111703","3353701"
"scenes/c111703_2","3309799"
"scenes/c111901","3038040"
"scenes/c111901_2","4783763"
"scenes/c111903","2247295"
"scenes/c111905","2969082"
"scenes/c111907","3344290"
"scenes/c111909","3619057"
"scenes/c111909_2","3649885"
"scenes/c111911","4040206"
"scenes/c111911_2","3040333"
"scenes/c111913","4062065"
"scenes/c111913_2","3284843"
"scenes/c111915","3754930"
"scenes/c111915_2","3401382"
"scenes/c111917","3108032"
"scenes/c111917_2","2730115"
"scenes/c111919","8322115"
"scenes/c111921","8497974"
"scenes/c112001","3566177"
"scenes/c112001_2","4410820"
"scenes/c112003","3397349"
"scenes/c112003_2","3740114"
"scenes/c112005","3615740"
"scenes/c112007","9319296"
"scenes/c112007_2","9772213"
"scenes/c112201","3861271"
"scenes/c112201_2","3753650"
"scenes/c112203","9191117"
"scenes/c112401","3433330"
"scenes/c112401_2","3069600"
"scenes/c112601","2943570"
"scenes/c112603","3968392"
"scenes/c112603_2","3746481"
"scenes/c112605","7859041"
"scenes/c112701","3300346"
"scenes/c112701_2","3535693"
"scenes/c112801","2615365"
"scenes/c112801_2","3529385"
"scenes/c112803","1876316"
"scenes/c112803_2","2964705"
"scenes/c112805","2415896"
"scenes/c112805_2","3730199"
"scenes/c112807","2190121"
"scenes/c112807_2","3467302"
"scenes/c112809","3027568"
"scenes/c112809_2","3224235"
"scenes/c112811","4499433"
"scenes/c112811_2","4007669"
"scenes/c112813","2992808"
"scenes/c112813_2","3480361"
"scenes/c112815","3609902"
"scenes/c112815_2","3219844"
"scenes/c112817","3402305"
"scenes/c112817_2","3282345"
"scenes/c112819","3906924"
"scenes/c112819_2","3680510"
"scenes/c112821","3957441"
"scenes/c112821_2","2878677"
"scenes/c112823","4299590"
"scenes/c112823_2","3886339"
"scenes/c112825","2668099"
"scenes/c112825_2","2411001"
"scenes/c112827","3184837"
"scenes/c112827_2","2682602"
"scenes/c112829","3108788"
